School_name ,school_type,city ,zipcode,class_range, total_students ,student_teacher_ratio, nat_rank ,az_rank,female_students,female_students_percent,district_female_students,district_female_students_percent,male_students,male_students_percent,district_male_students,district_male_students_percent,white_students,white_students_percent,district_white_students,district_white_students_percent,hispanic_students,hispanic_students_percent,district_hispanic_students,district_hispanic_students_percent,asian_students,asian_students_percent,district_asian_students,district_asian_students_percent,two_or_moreR_students,two_or_moreR_students_percent,district_two_or_moreR_students,district_two_or_moreR_students_percent,black,black_percent,district_black,district_black_percent,pacific_islander,pacific_islander_percent,district_pacific_islander,district_pacific_islander_percent,american_indian,american_indian_percent,district_american_indian,district_american_indian_percent,lunch_assist_not_eligible,lunch_assist_not_eligible_percent,district_lunch_assist_not_eligible,district_lunch_assist_not_eligible_percent,lunch_assist_red_price,lunch_assist_red_price_percent,district_lunch_assist_red_price,district_lunch_assist_red_price_percent,lunch_assist_free,lunch_assist_free_percent,district_lunch_assist_free,district_lunch_assist_free_percent,nearby_schools_dict
Williams Field High School,Public,Higley,85236,09 - 12,"1,859",28.7:1,"2,001st out of 26,089",68th out of 659,959,52%,"2,889",53%,900,48%,"2,516",47%,"1,180",63%,"3,580",66%,403,22%,"1,089",20%,98,5%,265,5%,95,5%,242,4%,64,3%,179,3%,12,1%,32,1%,7,0%,18,0%,"1,653",(89%),"4,880",90%,136,(7%),335,6%,70,(4%),190,4%,"{'Greenfield Junior High School': '1 miles', 'Gilbert Classical Academy High School': '2 miles', 'Gilbert Christian Schools': '2 miles', 'Cooley Middle School': '2 miles', 'Highland High School': '2 miles', 'Highland Jr High School': '3 miles', 'Gilbert High School': '3 miles', 'Franklin Junior High School': '4 miles', 'Evit - East Campus': '4 miles', 'Gilbert Junior High School': '4 miles'}"
Betty Fairfax High School,Public,Laveen,85339,09 - 12,"1,821",17.7:1,"2,112th out of 26,089",75th out of 659,945,52%,"13,923",52%,876,48%,"13,090",48%,962,53%,"21,951",81%,492,27%,"2,312",9%,155,9%,"1,238",5%,79,4%,654,2%,64,4%,356,1%,63,3%,440,2%,6,0%,62,0%,"1,040",(57%),"21,461",79%,543,(30%),"3,603",13%,238,(13%),"1,949",7%,"{'Cesar Chavez High School': '3 miles', 'Arizona Lutheran Academy': '4 miles', 'Durango Transitional Learning Center': '6 miles', 'Carl Hayden High School': '7 miles', 'University High School': '8 miles', 'South Mountain High School': '8 miles', 'Sierra Linda High School': '8 miles', 'Tolleson Union High School': '8 miles', '91st Psalm Christian School': '9 miles', 'Maryvale High School': '9 miles'}"
Cesar Chavez High School,Public,Laveen,85339,09 - 12,"2,663",20.6:1,"478th out of 26,089",18th out of 659,"1,386",52%,"13,923",52%,"1,277",48%,"13,090",48%,"1,978",74%,"21,951",81%,409,15%,"2,312",9%,114,4%,654,2%,84,3%,"1,238",5%,43,2%,356,1%,32,1%,440,2%,3,0%,62,0%,"1,880",(71%),"21,461",79%,488,(18%),"3,603",13%,295,(11%),"1,949",7%,"{'Arizona Lutheran Academy': '2 miles', 'Betty Fairfax High School': '3 miles', 'Durango Transitional Learning Center': '4 miles', 'South Mountain High School': '6 miles', 'Carl Hayden High School': '6 miles', '91st Psalm Christian School': '7 miles', 'Franklin Police and Fire High School': '7 miles', 'Metro Tech High School': '8 miles', 'Bostrom Alternative Center': '8 miles', 'Phoenix Union Bioscience High School': '8 miles'}"
Country Gardens Charter School,Public,Laveen,85339,KG - 12,407,-1:1,"12,454th out of 26,089",227th out of 659,213,52%,213,52%,194,48%,194,48%,256,63%,256,63%,80,20%,80,20%,50,12%,50,12%,16,4%,16,4%,4,1%,4,1%,1,0%,1,0%,0,0%,0,0%,199,(49%),199,49%,138,(34%),138,34%,70,(17%),70,17%,"{'Betty Fairfax High School': '2 miles', 'Cesar Chavez High School': '4 miles', 'Arizona Lutheran Academy': '5 miles', 'Durango Transitional Learning Center': '5 miles', 'Tolleson Union High School': '6 miles', 'University High School': '6 miles', 'Carl Hayden High School': '6 miles', 'Sierra Linda High School': '6 miles', 'Trevor Browne High School': '7 miles', 'Maryvale High School': '7 miles'}"
Heritage Academy Laveen,Public,Laveen,85339,07 - 12,376,-1:1,"13,087th out of 26,089",238th out of 659,211,56%,211,56%,165,44%,165,44%,188,50%,188,50%,107,28%,107,28%,47,13%,47,13%,16,4%,16,4%,14,4%,14,4%,4,1%,4,1%,0,0%,0,0%,,,376,100%,,,0,0%,,,0,0%,"{'Cesar Chavez High School': '1 miles', 'Betty Fairfax High School': '2 miles', 'Arizona Lutheran Academy': '3 miles', 'Durango Transitional Learning Center': '4 miles', 'South Mountain High School': '6 miles', 'Carl Hayden High School': '6 miles', '91st Psalm Christian School': '7 miles', 'Franklin Police and Fire High School': '7 miles', 'Metro Tech High School': '8 miles', 'Bostrom Alternative Center': '8 miles'}"
Academy with Community Partners,Public,Mesa,85203,09 - 12,132,-1:1,"19,268th out of 26,089",360th out of 659,69,52%,69,52%,63,48%,63,48%,74,56%,74,56%,38,29%,38,29%,11,8%,11,8%,4,3%,4,3%,3,2%,3,2%,2,2%,2,2%,0,0%,0,0%,88,(67%),88,67%,29,(22%),29,22%,15,(11%),15,11%,"{'Mesa Distance Learning Program': '1 miles', 'Poston Junior High School': '1 miles', 'Redeemer Christian School': '1 miles', 'Mountain View High School': '2 miles', 'Mesa High School': '2 miles', 'Kino Junior High School': '2 miles', 'Taylor Junior High School': '3 miles', 'Stapley Junior High School': '4 miles', 'Westwood High School': '4 miles', 'Carson Junior High School': '4 miles'}"
Arizona Agribusiness & Equine Center Inc. - Red Mountain,Public,Mesa,85215,09 - 12,156,-1:1,"18,493rd out of 26,089",341st out of 659,97,62%,97,62%,59,38%,59,38%,128,82%,128,82%,20,13%,20,13%,3,2%,3,2%,2,1%,2,1%,2,1%,2,1%,1,1%,1,1%,0,0%,0,0%,116,(74%),116,74%,27,(17%),27,17%,13,(8%),13,8%,"{'Mesa Academy for Advanced Studies': '2 miles', 'Red Mountain High School': '2 miles', 'Fremont Junior High School': '2 miles', 'Shepherd Junior High School': '2 miles', 'Faith Christian School': '3 miles', 'Stapley Junior High School': '5 miles', 'Smith Junior High School': '5 miles', 'Franklin Junior High School': '6 miles', 'Mountain View High School': '6 miles', 'Skyline High School': '6 miles'}"
Asu Preparatory Academy-Polytechnic High School,Public,Mesa,85212,09 - 12,205,-1:1,"17,102nd out of 26,089",305th out of 659,124,60%,124,60%,81,40%,81,40%,119,58%,119,58%,45,22%,45,22%,18,9%,18,9%,10,5%,10,5%,7,3%,7,3%,4,2%,4,2%,2,1%,2,1%,184,(90%),184,90%,11,(5%),11,5%,10,(5%),10,5%,"{'Evit - East Campus': '1 miles', 'Higley High School': '2 miles', 'Gilbert Christian Schools': '3 miles', 'Cooley Middle School': '3 miles', 'Sossaman Middle School': '4 miles', 'Canyon State Academy': '4 miles', 'Highland High School': '5 miles', 'Greenfield Junior High School': '5 miles', 'Gilbert Classical Academy High School': '5 miles', 'Highland Jr High School': '5 miles'}"
Basis Mesa,Public,Mesa,85212,04 - 12,628,-1:1,"9,069th out of 26,089",175th out of 659,331,53%,331,53%,297,47%,297,47%,330,53%,330,53%,122,19%,122,19%,107,17%,107,17%,50,8%,50,8%,15,2%,15,2%,4,1%,4,1%,0,0%,0,0%,,,628,100%,,,0,0%,,,0,0%,"{'Desert Ridge High School': '4 miles', 'Desert Ridge Junior High School': '4 miles', 'Evit - East Campus': '4 miles', 'Canyon State Academy': '5 miles', 'Highland Jr High School': '5 miles', 'Cooley Middle School': '6 miles', 'Queen Creek High School': '6 miles', 'Skyline High School': '6 miles', 'Combs High School': '6 miles', 'Higley High School': '6 miles'}"
Carson Junior High School,Public,Mesa,85201,07 - 09,999,20.4:1,Unranked,Unknown,557,56%,"15,134",52%,442,44%,"14,235",48%,578,58%,"11,878",40%,186,19%,"13,899",47%,136,14%,"1,276",4%,73,7%,"1,289",4%,15,2%,573,2%,8,1%,316,1%,3,0%,138,0%,763,(76%),"13,523",46%,171,(17%),"13,517",46%,65,(7%),"2,329",8%,"{'Westwood High School': '1 miles', 'Evit - East Valley Institute of Technology': '2 miles', 'East Valley Academy': '2 miles', 'The Aces-Tempe': '3 miles', 'Mesa Distance Learning Program': '3 miles', 'Kino Junior High School': '3 miles', 'Mesa Transitional Learning Center': '4 miles', 'Rhodes Junior High School': '4 miles', 'Mcclintock High School': '4 miles', 'Mesa High School': '4 miles'}"
Desert Ridge High School,Public,Mesa,85209,09 - 12,"2,768",25.2:1,"400th out of 26,089",17th out of 659,"1,403",51%,"9,429",51%,"1,365",49%,"9,161",49%,"1,896",68%,"12,882",69%,558,20%,"3,618",19%,117,4%,697,4%,99,4%,851,5%,68,2%,341,2%,25,1%,159,1%,5,0%,42,0%,"2,760",(100%),"18,501",100%,5,(0%),53,0%,3,(0%),36,0%,"{'Desert Ridge Junior High School': '1 miles', 'Skyline High School': '3 miles', 'Apache Junction High School': '4 miles', 'Cactus Canyon Junior High School': '4 miles', 'Highland Jr High School': '4 miles', 'Smith Junior High School': '5 miles', 'Highland High School': '5 miles', 'Faith Christian School': '6 miles', 'Cooley Middle School': '6 miles', 'Red Mountain High School': '6 miles'}"
Desert Ridge Junior High School,Public,Mesa,85209,07 - 08,"1,305",22.3:1,Unranked,Unknown,674,52%,"9,429",51%,631,48%,"9,161",49%,890,68%,"12,882",69%,283,22%,"3,618",19%,54,4%,697,4%,37,3%,851,5%,31,2%,341,2%,9,1%,159,1%,1,0%,42,0%,"1,297",(99%),"18,501",100%,5,(0%),53,0%,3,(0%),36,0%,"{'Desert Ridge High School': '1 miles', 'Skyline High School': '2 miles', 'Apache Junction High School': '4 miles', 'Cactus Canyon Junior High School': '4 miles', 'Smith Junior High School': '5 miles', 'Highland Jr High School': '5 miles', 'Highland High School': '5 miles', 'Faith Christian School': '6 miles', 'Cooley Middle School': '6 miles', 'Red Mountain High School': '6 miles'}"
Dobson High School,Public,Mesa,85202,09 - 12,"2,639",21.8:1,"501st out of 26,089",20th out of 659,"1,324",50%,"15,134",52%,"1,315",50%,"14,235",48%,"1,199",45%,"11,878",40%,997,38%,"13,899",47%,207,8%,"1,289",4%,129,5%,"1,276",4%,75,3%,573,2%,19,1%,316,1%,13,0%,138,0%,"1,273",(48%),"13,523",46%,"1,135",(43%),"13,517",46%,231,(9%),"2,329",8%,"{'Rhodes Junior High School': '2 miles', 'Mesa Transitional Learning Center': '3 miles', 'Seton Catholic Preparatory High School': '3 miles', 'East Valley Academy': '3 miles', 'Mesquite High School': '3 miles', 'Marcos De Niza High School': '4 miles', 'Mcclintock High School': '4 miles', 'Chandler Online Academy': '4 miles', 'Arizona College Prep Erie Campus': '4 miles', 'Evit - East Valley Institute of Technology': '4 miles'}"
